,Classifier,State,County,Year,Mean AQI,Mean O3,Is California,Mean max
0,Fontana,California,San Bernardino,2010,53.01675977653631,0.027503846368715085,True,0.04587150837988827
0,Fontana,California,San Bernardino,2011,58.55807365439094,0.029622116147308777,True,0.0491671388101983
0,Fontana,California,San Bernardino,2012,67.5,0.03225379234972677,True,0.0528879781420765
0,Fontana,California,San Bernardino,2013,63.61602209944751,0.03336156629834255,True,0.05267127071823204
0,Fontana,California,San Bernardino,2014,61.650455927051674,0.031825930091185416,True,0.052057750759878424
0,Fontana,California,San Bernardino,2015,61.05042016806723,0.0323815350140056,True,0.05122969187675071
0,Fontana,California,San Bernardino,2016,58.99173553719008,0.0302324435261708,True,0.04951790633608816
0,Fontana,California,San Bernardino,2017,56.40331491712707,0.029766127071823207,True,0.04814917127071823
0,Fontana,California,San Bernardino,2018,64.28767123287672,0.03249731780821918,True,0.0524
0,Fontana,California,San Bernardino,2019,62.59615384615385,0.03297059065934066,True,0.05166483516483516
0,Fontana,California,San Bernardino,2020,55.77472527472528,0.0323366978021978,True,0.04853296703296702
0,Des Moines,Iowa,Polk,1990,12.94927536231884,0.011051039855072463,False,0.01391304347826087
0,Des Moines,Iowa,Polk,1991,13.41692789968652,0.010038811912225705,False,0.014476489028213167
0,Des Moines,Iowa,Polk,1992,25.60747663551402,0.019224327102803737,False,0.025996884735202494
0,Des Moines,Iowa,Polk,1993,18.712280701754388,0.015284884210526315,False,0.020157894736842107
0,Des Moines,Iowa,Polk,1994,24.76098901098901,0.018836914835164836,False,0.026741758241758246
0,Des Moines,Iowa,Polk,1995,26.839181286549707,0.020144660818713453,False,0.027929824561403513
0,Des Moines,Iowa,Polk,1996,26.046831955922865,0.01939058126721763,False,0.027493112947658403
0,Des Moines,Iowa,Polk,1997,34.04899135446686,0.028702025936599422,False,0.03582132564841499
0,Des Moines,Iowa,Polk,1998,26.869127516778523,0.02171606711409396,False,0.02891275167785236
0,Des Moines,Iowa,Polk,1999,34.36279069767442,0.02693401395348837,False,0.0366093023255814
0,Des Moines,Iowa,Polk,2000,33.06467661691542,0.025830701492537318,False,0.03492039800995025
0,Des Moines,Iowa,Polk,2001,34.59390862944162,0.026420187817258883,False,0.036847715736040614
0,Des Moines,Iowa,Polk,2002,33.009302325581395,0.02527373488372093,False,0.0350186046511628
0,Des Moines,Iowa,Polk,2003,28.312796208530806,0.021045706161137444,False,0.03059715639810427
0,Des Moines,Iowa,Polk,2004,33.91588785046729,0.025602196261682246,False,0.03626635514018692
0,Des Moines,Iowa,Polk,2005,43.35377358490566,0.03133909433962264,False,0.04332547169811321
0,Des Moines,Iowa,Polk,2006,38.82629107981221,0.028895741784037556,False,0.04004225352112676
0,Des Moines,Iowa,Polk,2007,39.97989949748744,0.031826597989949745,False,0.04095477386934675
0,Des Moines,Iowa,Polk,2008,34.36619718309859,0.028186018779342722,False,0.03690140845070423
0,Des Moines,Iowa,Polk,2009,32.69767441860465,0.026417027906976746,False,0.03518604651162791
0,Des Moines,Iowa,Polk,2010,34.45070422535211,0.02827046009389671,False,0.03692957746478873
